profile,gender,birthday,favorites_anime,link
toloverufan,Male,,"['5667', '13663', '13851', '3455', '9181']",https://myanimelist.net/profile/toloverufan
EHeroReview,Male,1-Apr-93,[],https://myanimelist.net/profile/EHeroReview
Fairytopia,,,"['3588', '101', '6746', '9989', '10408']",https://myanimelist.net/profile/Fairytopia
isumi-chan,Female,29-Jul-01,"['6702', '9756', '849', '6547', '21']",https://myanimelist.net/profile/isumi-chan
PoDH,Male,,"['8525', '2026', '13599', '9253', '6547']",https://myanimelist.net/profile/PoDH
arrays,Male,15-Jun,"['5114', '32281', '22535', '13601', '5081', '205', '28171', '23847', '7311', '4181']",https://myanimelist.net/profile/arrays
Battousai_027,Male,27-Sep-90,"['45', '21', '9969', '10030', '1735']",https://myanimelist.net/profile/Battousai_027
cigardah,Male,,"['30276', '28171', '918', '1', '20583', '5114', '392']",https://myanimelist.net/profile/cigardah
baellistA,Male,,"['19', '1535', '9253', '32281', '34542', '1575', '14075', '13601', '35247']",https://myanimelist.net/profile/baellistA
MillenniumA,,,[],https://myanimelist.net/profile/MillenniumA
Pikangie,,8-Sep-89,"['8339', '1060', '31762', '27727', '31174', '10161', '13601', '5060', '4898', '48']",https://myanimelist.net/profile/Pikangie
Waldy565,Male,4-Jul-96,"['2605', '16498', '1372', '1']",https://myanimelist.net/profile/Waldy565
Masternji,Male,11-Oct,"['32281', '34125', '28623', '5680', '30831', '13759', '4224']",https://myanimelist.net/profile/Masternji
simoku,Male,1994,"['7791', '30', '5081', '1210', '9756', '1251', '9253', '110', '145', '10495']",https://myanimelist.net/profile/simoku
chinodesuuu,Non-Binary,22-Jan-00,"['37991', '5680', '31988', '27989']",https://myanimelist.net/profile/chinodesuuu
HeavenBlade,Male,27-Feb-94,"['14813', '35247', '5114', '32281', '5680', '27989', '15051', '33352', '32', '9253']",https://myanimelist.net/profile/HeavenBlade
Knifilia,,,[],https://myanimelist.net/profile/Knifilia
Malthorian,Male,,"['967', '820', '2001', '918']",https://myanimelist.net/profile/Malthorian
Craftarc,,,[],https://myanimelist.net/profile/Craftarc
Pockers,,,"['13125', '34599']",https://myanimelist.net/profile/Pockers
FHero,Male,,"['5680', '9253', '31240', '20507']",https://myanimelist.net/profile/FHero
OwlsAreAirCats,,,"['28851', '4224', '9253', '10165']",https://myanimelist.net/profile/OwlsAreAirCats
MrMawrvel,,,"['22135', '523', '227', '11061', '47', '18679', '21', '164', '1', '5114']",https://myanimelist.net/profile/MrMawrvel
DeathWish249,Male,27-Dec,"['2001', '30', '9756', '12445', '13759']",https://myanimelist.net/profile/DeathWish249
BrigadeHamtaro,Male,,"['8557', '10378', '10588']",https://myanimelist.net/profile/BrigadeHamtaro
CurseDestiny,Male,13-Mar-76,"['4565', '120', '934', '5081', '18119', '31637']",https://myanimelist.net/profile/CurseDestiny
ShuuTsukTrash,Male,30-Dec-99,[],https://myanimelist.net/profile/ShuuTsukTrash
ArchetypeEithe,Male,1-Jun,"['9041', '10719', '2167', '2966', '5680']",https://myanimelist.net/profile/ArchetypeEithe
yoshi64,,,"['6213', '7311', '4181', '73', '9289']",https://myanimelist.net/profile/yoshi64
Hejin,Male,18-Dec-91,"['31933', '20057', '11061', '27947', '95', '2001', '5507', '9253', '18679']",https://myanimelist.net/profile/Hejin
Ganz7,Male,,"['11061', '4181', '23847', '31240', '5680', '12189']",https://myanimelist.net/profile/Ganz7
AmiTomoko189,Female,21-Aug,"['934', '4898', '2167']",https://myanimelist.net/profile/AmiTomoko189
godofmankind,Male,21-Nov-00,"['7785', '43', '31758', '32', '437', '199', '9253', '227', '2904', '1535']",https://myanimelist.net/profile/godofmankind
Shinonono_Houki,Male,2-Nov-87,"['22199', '33489', '14741', '6547', '17549', '19221', '21085', '1470', '967', '6171']",https://myanimelist.net/profile/Shinonono_Houki
Far_Together,,,"['856', '66', '299', '48', '1', '26349']",https://myanimelist.net/profile/Far_Together
Lolsebca,Non-Binary,2001,"['9756', '39071', '36286', '31564', '37579', '19815', '30831', '31953', '33731', '33161']",https://myanimelist.net/profile/Lolsebca
InkSpider,Female,,"['437', '35842', '36214', '441', '16742', '43', '227', '339', '1210', '1']",https://myanimelist.net/profile/InkSpider
FrostyHippo,Male,13-Jun-98,"['5114', '9253', '627', '23755']",https://myanimelist.net/profile/FrostyHippo
Plucky-San,Male,29-Oct-87,"['66', '14741', '8129', '696', '1887', '5680', '6574', '488', '10495']",https://myanimelist.net/profile/Plucky-San
Ollleksa,Male,9-May-93,"['2001', '22297', '31043', '5680', '13601', '1210', '1', '467']",https://myanimelist.net/profile/Ollleksa
Scadger,,,"['23273', '10165', '7791', '9253', '25835']",https://myanimelist.net/profile/Scadger
scottpilgrim10,Male,4-Jul-96,"['9253', '4181', '35180', '28851', '37510', '32979', '31988', '572', '121', '19']",https://myanimelist.net/profile/scottpilgrim10
ComradeKane,Male,27-May-98,"['813', '5680', '2966']",https://myanimelist.net/profile/ComradeKane
